"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xbd1df00dD7021b1c21e44140150F5F5c5D800fBC","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xbd1df00dd7021b1c21e44140150f5f5c5d800fbc","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","997350000","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","9150000000","0xb7d4b8a18005c79cfadeadfc533d301973f8742b7a1132ab6531e004dae2c62d","1695413707","100000000000","218893","218893","3333200035","47418423"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc0af16725BD379f2de5fe860eA2943b82e89121f","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc0af16725bd379f2de5fe860ea2943b82e89121f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","992878799","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","10440000000","0x2a7636fb6d07339638be296633c134117f05780021d5062cb46d1c86ca9b50e1","1695422991","100000000000","171386","257079","3333200036","47423064"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","105063799","0x6983d1e6def3690c4d616b13597a09e6193ea013","1028999000000000000","0xabb504ebb38f194539318900f41348fadf55ab5aa3416d24e6b135416cf46f64","1695432026","100000000000","217592","326388","3333200036","47427581"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","991339463","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","10000000000","0x929c7bb0d2f3555a2cac063783c07b97c2b44100d546e95395b624bf8c653a8f","1695436497","100000000000","190566","285849","3333200035","47429816"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc161A6F92B4561068F5996B8F835A37A284D7362","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc161a6f92b4561068f5996b8f835a37a284d7362","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","8428950","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","90000000","0xbee3304ae50b7b1fbc027917293a36818630b64073b77c71f565daff5a07868c","1695445623","100000000000","166248","249372","3333200036","47434376"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","207157770","0x6983d1e6def3690c4d616b13597a09e6193ea013","2029000000000000000","0xe4ad41fae8c6cdd2e9a5f92cc499ead6cab8aa251cb1a6e78280b74ce0e5a26f","1695445835","100000000000","187592","281388","3333200036","47434482"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x00000015C1106FFDFC6e0B6eDB54176bf784cf43","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x00000015c1106ffdfc6e0b6edb54176bf784cf43","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","857154542","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","9274000000","0x3230fc6d783ed885997f188dfe981748299c2306b236243eebafb1e21a59e949","1695453250","105000000000","190023","285034","3333200036","47438186"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","107134500","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x833bcc69784dfd2f01565a63642cb6fc99aada90d580a8585b209fa751181286","1695462784","100000000000","187580","281370","3333200035","47442950"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","485423908","0x985458e523db3d53125813ed68c274899e9dfab4","5000000000","0xd390572b16070d299e150ddb1c723b462d4727493b145478eae73efb3c88461e","1695466607","100000000000","204991","307486","3333200035","47444861"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","101901250","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x9a33e49f9085e303d6e161e7f4ac5629cfa10a8b27e32530abfc97fcafa89430","1695475622","100000000000","187580","281370","3333200035","47449364"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","478383770","0x985458e523db3d53125813ed68c274899e9dfab4","5000000000","0xa2111b2a6c258dc4b497e460c96754ea79e5d8a820329af06e698bbe720e4be8","1695479622","100000000000","159991","239986","3333200035","47451363"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","35357816","0x985458e523db3d53125813ed68c274899e9dfab4","370000000","0x66d656eb9d5b09d15691a86029b6b4eef36381d74aec9422e1811083dba4f379","1695488956","100000000000","181823","272734","3333200035","47456028"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x4bd0f1F3EDe81fa5C177C76bc81Df65eA583e123","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x4bd0f1f3ede81fa5c177c76bc81df65ea583e123","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","477718207","0x985458e523db3d53125813ed68c274899e9dfab4","4999000000","0x5ca1716e7c60969da44cc6d326c010116e21cdd833b5f840e0960597671d07da","1695490229","100000000000","175023","262534","3333200036","47456664"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x236440981a5107bEbA360bAdEf2E6f1b8f2ef90c","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x236440981a5107beba360badef2e6f1b8f2ef90c","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","999881801","0x3095c7557bcb296ccc6e363de01b760ba031f2d9","52066330","0x8cd0c201252c62e28bbdc3e7b4198c7d9d4b3913a3731b14fe59cdae515f808d","1695499613","105010500000","184641","350000","3333200036","47461352"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x15Ef7042DCA5A226b0aDde57cf43664B55041d0E","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x15ef7042dca5a226b0adde57cf43664b55041d0e","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","109000000","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0xf0f3f6b83a616a2a4cb5116faf0cea42132236aff0ce5611feded44ed6b389fa","1695511532","100000000000","184517","299275","3333200036","47467306"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x15Ef7042DCA5A226b0aDde57cf43664B55041d0E","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0x15ef7042dca5a226b0adde57cf43664b55041d0e","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","101043333","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0xceba1ad92652bb48b560b5626962948d0c97d9ad1854b2f0c0c857a69c6d3b4c","1695514588","100000000000","167949","251923","3333200036","47468833"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","104165243","0x6983d1e6def3690c4d616b13597a09e6193ea013","995000000000000000","0xa8a939282f5c8a856021257848b7b087583a505f5f076138663e762ae71c00d4","1695517585","100000000000","186998","280497","3333200035","47470331"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","236203000","0x6983d1e6def3690c4d616b13597a09e6193ea013","1970000000000000000","0x0063b23d425c45212a1da6c4d34c5c4f71a945c496e3030898feb60add82d55c","1695522956","100000000000","189711","284566","3333200035","47473016"
"0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06CC78CAa25204BAF832BFc4e10007B5","0x4684C204DD149C679B4ABfF3A4e7d19C34a4EDE4","0xc08dc76d06cc78caa25204baf832bfc4e10007b5","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","119900000","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x6105427648ebec50f803f163f3b060c54d4faf217ebafd00117eb07770a8e070","1695531867","100000000000","189735","284602","3333200035","47477471"
