"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xd592510aD8Bce793d7aE21664494AA39dc9e1E22","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xd592510ad8bce793d7ae21664494aa39dc9e1e22","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","15882","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","100000","0x0e7dcbf1bdfb05811bb5b91e0c6d45f536d48af053d1a7a78ac2d312b054db67","1710574617","105000000000","226757","340135","3333200035","54948272"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x12F890B7108E43c7EE3e28685B3c32dF5Cf28761","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x12f890b7108e43c7ee3e28685b3c32df5cf28761","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","155787975","0x985458e523db3d53125813ed68c274899e9dfab4","890217000","0x8a676d76249d78780a211251ddcd470ffb291266075e76826906ff7739909f38","1710599528","100000000000","215094","215094","3333200035","54960723"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xf5AD19BCdfB3a9964799fD0Fc042917c53230D6b","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xf5ad19bcdfb3a9964799fd0fc042917c53230d6b","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","960400000","0xe176ebe47d621b984a73036b9da5d834411ef734","5488000000000000000000","0x46a00ca22d529ccacdbaf7019437c8d70659e9036ac07b28020fe5febbb7a05c","1710649719","100000000000","211250","211250","3333200036","54985811"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xbc8da18ef4cFc2282487c0fBA2DAA8FA7623045F","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xbc8da18ef4cfc2282487c0fba2daa8fa7623045f","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","17500000","0x985458e523db3d53125813ed68c274899e9dfab4","100000000","0x3cbd06428947c34834e43b16f85f7540c2e1eb1a2aa53324bcfd97b211a975f2","1710681939","100000000000","200082","200082","3333200036","55001917"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x9f1d4cD8C8B64dc2337FaB70F0483e3cab13Fde2","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x9f1d4cd8c8b64dc2337fab70f0483e3cab13fde2","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","9625000","0x6983d1e6def3690c4d616b13597a09e6193ea013","50000000000000000","0xa62fc709c5de7d68b6a1f741a17a12557766887ee63b3ed123a632d80889e73b","1710806348","100000000000","219686","219686","3333200035","55064103"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xF5f19a296f280F7F9BD7ea7382EA1686166a96DD","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xf5f19a296f280f7f9bd7ea7382ea1686166a96dd","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","87500000","0xef977d2f931c1978db5f6747666fa1eacb0d0339","500000000000000000000","0xd008fe6a15a1cbca414ecc7fdf75e18916420c803e2c7d690dae85416efa85e8","1710848530","100000000000","207021","234813","3333200035","55085188"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xF5f19a296f280F7F9BD7ea7382EA1686166a96DD","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xf5f19a296f280f7f9bd7ea7382ea1686166a96dd","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","83237500","0xef977d2f931c1978db5f6747666fa1eacb0d0339","500000000000000000000","0x795ba4f4f81c1ad260ff768cf87b5e0f30e91acc211eb446739c2d5ef9b41a19","1710848554","100000000000","175453","234813","3333200036","55085200"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xF5f19a296f280F7F9BD7ea7382EA1686166a96DD","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xf5f19a296f280f7f9bd7ea7382ea1686166a96dd","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","79255270","0xef977d2f931c1978db5f6747666fa1eacb0d0339","500000000000000000000","0x19766bd2c3f9401966db256ca65b1db1fb47242f5e8bfbcb0183a44338eecc51","1710848580","100000000000","175465","234813","3333200036","55085213"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xD62e2492b5203D62E074E12C48221b610E19B02A","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0xd62e2492b5203d62e074e12c48221b610e19b02a","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","149283750","0x6983d1e6def3690c4d616b13597a09e6193ea013","775500000000000000","0x7db5ad182877feb04af1e08a2a0fcaefcdf84b993e4e636eea1f4fc55a3e8e27","1710964287","100000000000","205288","205288","3333200036","55143037"
"0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x2923F29e71b65f05cb011E4A724664a084540092","0x86574B1E22cf13a8dC02b1c6599E5EF21033334E","0x2923f29e71b65f05cb011e4a724664a084540092","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","36750000","0x3c2b8be99c50593081eaa2a724f0b8285f5aba8f","210000000","0x312f263b102aeb90e32454f4a40ebf895514ea767054e13da6ab7fe0bc4c4510","1711237144","100000000000","185094","200094","3333200036","55279427"
