"burner","from","to","user","stablecoin","stablecoinAmount","burned","burnedAmount","tx","ts","gasPrice","gasUsed","gasLimit","v","block"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x1587c94817bfaA7172F6c82e03bB2Ac3a5aD6102","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","108000000","0x985458e523db3d53125813ed68c274899e9dfab4","1000000000","0x7fe1b0a4700301c10fa0e8befc88c3488390f90ceed38cf14108011d43607af4","1684263778","1000000000000","228618","342927","3333200036","41849515"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x1587c94817bfaA7172F6c82e03bB2Ac3a5aD6102","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","730103703","0x985458e523db3d53125813ed68c274899e9dfab4","10000000000","0x2cdb0f64b5de717fdc7f5c64d3489d3da20ce9ae4154b436a0e8786fbfd4dde7","1684263810","1000000000000","159651","239476","3333200035","41849531"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x300F3647cF552CfFd2d39b136F7992d7653D8497","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x300f3647cf552cffd2d39b136f7992d7653d8497","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","1728648","0x985458e523db3d53125813ed68c274899e9dfab4","100000000","0xdb412d3b0f86bfd763fab07e5e687f0293335df9ab1a53d1316a1fed847eed40","1684264613","1000000000000","195876","195876","3333200036","41849932"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0xa20baaAB3b32F60d126D088622e191Fd097F2B89","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0xa20baaab3b32f60d126d088622e191fd097f2b89","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","19235","0x985458e523db3d53125813ed68c274899e9dfab4","1000000","0x7c30c8a011b831fa773d83d2ffa8fc368a712d29cd065d935f0c010160000b38","1684264890","1000000000000","194714","292071","3333200036","41850070"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1E91dA7309CE52882CA33b15cBE5575ce201","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1e91da7309ce52882ca33b15cbe5575ce201","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","65349927","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x3ca91a4893da863c54031703783e7c0daba4f0b162fc77c034f610ac37ea5e93","1684269318","100000000000","216677","234813","3333200035","41852281"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1E91dA7309CE52882CA33b15cBE5575ce201","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1e91da7309ce52882ca33b15cbe5575ce201","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","66322149","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x44841cc4a9810052b79ff86e1a5023384f4d609867c3c4639c29339a77ad4528","1684271768","100000000000","186645","234813","3333200035","41853504"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3E31F8db0377BBa180B7e972142A9f8b7","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3e31f8db0377bba180b7e972142a9f8b7","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6008881","0x985458e523db3d53125813ed68c274899e9dfab4","99000000","0xd3c48a9264f7923b69a6d07aa3303b415e79ce3875c06cf283f4ab45aa7ec742","1684274200","1000000000000","195293","195293","3333200035","41854719"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x99f50CB3d0a5f628037F17636650EfBB9d41d1c7","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x99f50cb3d0a5f628037f17636650efbb9d41d1c7","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","30114044","0x6983d1e6def3690c4d616b13597a09e6193ea013","462970000000000000","0xe01e3e70f83c7958d1871df7051121fc44456de7c2ebf42a29b855193f03e611","1684274244","1000000000000","201079","301618","3333200036","41854741"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3E31F8db0377BBa180B7e972142A9f8b7","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3e31f8db0377bba180b7e972142a9f8b7","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6033802","0x985458e523db3d53125813ed68c274899e9dfab4","100000000","0x73543f2fb058477d7dcf10c7adc2336f96fe75df649bdfb6efe8a34dc21784f8","1684275461","1000000000000","180876","180876","3333200035","41855349"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1E91dA7309CE52882CA33b15cBE5575ce201","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1e91da7309ce52882ca33b15cbe5575ce201","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","66988518","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0x5a34ee2f8ff1263c107843e5097ded4195a3fe6a87fb273ca65605f73219c5ae","1684275740","100000000000","186677","234813","3333200035","41855488"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1E91dA7309CE52882CA33b15cBE5575ce201","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x15ef1e91da7309ce52882ca33b15cbe5575ce201","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","67032570","0x6983d1e6def3690c4d616b13597a09e6193ea013","1000000000000000000","0xe2ee48c0041d75df88cc006a8a12b57bb8f45bc4f924d6f69caf2f968a48e44f","1684278156","100000000000","186677","234813","3333200035","41856695"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3E31F8db0377BBa180B7e972142A9f8b7","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3e31f8db0377bba180b7e972142a9f8b7","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6044713","0x985458e523db3d53125813ed68c274899e9dfab4","100000000","0x273e5b1ccb0e196ab75b11d2368f53d18bcfbce53971f2731b49cbd862471784","1684280515","1000000000000","180856","180856","3333200036","41857873"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3E31F8db0377BBa180B7e972142A9f8b7","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x6b7e2ea3e31f8db0377bba180b7e972142a9f8b7","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","6066845","0x985458e523db3d53125813ed68c274899e9dfab4","100000000","0x0ecfb6e6a12ff1f723b5d7160e81c50e7f90a3c5763a08046a7ef77f71faef73","1684280757","1000000000000","180844","180844","3333200035","41857994"
"0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x605613863f61E373867f41c3dDcCc4f55007d295","0x31a67DDeE24bCdFA04745DBC6955d92f8F5512dA","0x605613863f61e373867f41c3ddccc4f55007d295","0xbc594cabd205bd993e7ffa6f3e9cea75c1110da5","469343221","0x985458e523db3d53125813ed68c274899e9dfab4","7847000000","0x6abf5cd3c0ebf2af8fd96b9be57d4cfefef66a57b4dcb9cf19e082b7e1974b36","1684280881","1000000000000","189056","283584","3333200035","41858056"
